CHAVEAMENTOS: 16389
TME: 7344.40
TMR: 26475.10
VAZAO: 0.049879
TERMINO: t1 t2 t3
DIAGRAMA DE EVENTOS
5628 1001 EXEC
5638 1001 QUANTUM_EX
5638 1000 EXEC
5648 1000 QUANTUM_EX
5648 1001 EXEC
5658 1001 QUANTUM_EX
5658 1000 EXEC
5668 1000 QUANTUM_EX
5668 1001 EXEC
5678 1001 QUANTUM_EX
5678 1000 EXEC
5688 1000 QUANTUM_EX
5688 1001 EXEC
5698 1001 QUANTUM_EX
5698 1000 EXEC
5708 1000 QUANTUM_EX
5708 1001 EXEC
5718 1001 QUANTUM_EX
5718 1000 EXEC
5728 1000 QUANTUM_EX
5728 1001 EXEC
5738 1001 QUANTUM_EX
5738 1000 EXEC
5748 1000 QUANTUM_EX
5748 1001 EXEC
5758 1001 QUANTUM_EX
5758 1000 EXEC
5768 1000 QUANTUM_EX
5768 1001 EXEC
5778 1001 QUANTUM_EX
5778 1000 EXEC
5788 1000 QUANTUM_EX
5788 1001 EXEC
5798 1001 QUANTUM_EX
5798 1000 EXEC
5808 1000 QUANTUM_EX
5808 1001 EXEC
5818 1001 QUANTUM_EX
5818 1000 EXEC
5828 1000 QUANTUM_EX
5828 1001 EXEC
5838 1001 QUANTUM_EX
5838 1000 EXEC
5848 1000 QUANTUM_EX
5848 1001 EXEC
5858 1001 QUANTUM_EX
5858 1000 EXEC
5868 1000 QUANTUM_EX
5868 1001 EXEC
5878 1001 QUANTUM_EX
5878 1000 EXEC
5888 1000 QUANTUM_EX
5888 1001 EXEC
5898 1001 QUANTUM_EX
5898 1000 EXEC
5908 1000 QUANTUM_EX
5908 1001 EXEC
5918 1001 QUANTUM_EX
5918 1000 EXEC
5928 1000 QUANTUM_EX
5928 1001 EXEC
5938 1001 QUANTUM_EX
5938 1000 EXEC
5948 1000 QUANTUM_EX
5948 1001 EXEC
5958 1001 QUANTUM_EX
5958 1000 EXEC
5968 1000 QUANTUM_EX
5968 1001 EXEC
5978 1001 QUANTUM_EX
5978 1000 EXEC
5988 1000 QUANTUM_EX
5988 1001 EXEC
5998 1001 QUANTUM_EX
5998 1000 EXEC
6008 1000 QUANTUM_EX
6008 1001 EXEC
6018 1001 QUANTUM_EX
6018 1000 EXEC
6028 1000 QUANTUM_EX
6028 1001 EXEC
6038 1001 QUANTUM_EX
6038 1000 EXEC
6048 1000 QUANTUM_EX
6048 1001 EXEC
6058 1001 QUANTUM_EX
6058 1000 EXEC
6068 1000 QUANTUM_EX
6068 1001 EXEC
6078 1001 QUANTUM_EX
6078 1000 EXEC
6088 1000 QUANTUM_EX
6088 1001 EXEC
6098 1001 QUANTUM_EX
6098 1000 EXEC
6108 1000 QUANTUM_EX
6108 1001 EXEC
6118 1001 QUANTUM_EX
6118 1000 EXEC
6128 1000 QUANTUM_EX
6128 1001 EXEC
6138 1001 QUANTUM_EX
6138 1000 EXEC
6148 1000 QUANTUM_EX
6148 1001 EXEC
6158 1001 QUANTUM_EX
6158 1000 EXEC
6168 1000 QUANTUM_EX
6168 1001 EXEC
6178 1001 QUANTUM_EX
6178 1000 EXEC
6188 1000 QUANTUM_EX
6188 1001 EXEC
6198 1001 QUANTUM_EX
6198 1000 EXEC
6208 1000 QUANTUM_EX
6208 1001 EXEC
6218 1001 QUANTUM_EX
6218 1000 EXEC
6228 1000 QUANTUM_EX
6228 1001 EXEC
6238 1001 QUANTUM_EX
6238 1000 EXEC
6248 1000 QUANTUM_EX
6248 1001 EXEC
6258 1001 QUANTUM_EX
6258 1000 EXEC
6268 1000 QUANTUM_EX
6268 1001 EXEC
6278 1001 QUANTUM_EX
6278 1000 EXEC
